Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
6/4/2013,1179293.35,32353.51234,9028.376855,7392.982926,10196.5784,5735.574158,17137.26801,5950.00974,3896,32454,35285.2,5251570,165955.0472,190119.79,106766.61,8704.16,43077.02,118278.6,146147.45,63155.16778,5148.732222,19125.88,150578.39
6/5/2013,1645956.62,32509.75376,8217.935671,7724.563001,10643.58259,5923.672505,20428.55247,5594.39343,5209,38319,26640.7,4123470,165955.0472,229582.61,137096.09,10637.41,62257.16,140244,179563.81,83352.12315,6467.366854,27579.37,202450.18
6/6/2013,1183240.71,28972.02178,6554.052919,8386.044584,9352.727421,4679.196852,18930.85101,5594.39343,4862,33000,56740.9,6364090,165955.0472,163674.49,104847.53,8618.55,42349.32,117087.52,132933.73,67799.11875,5573.141254,19553.85,159435.57
6/7/2013,905681.09,25235.11133,5409.953802,8493.178556,7275.775355,4056.203613,17981.96209,6991.95196,4323,31701,49839.75,5411610,165955.0472,132230.04,89431.97,9266.89,38743.99,95882.19,103651.49,54690.6825,5667.017497,18151.88,150117.58
6/8/2013,795235.25,23448.55463,4542.514432,8559.411155,6974.572261,3372.056786,15381.86327,6991.95196,3940,30514,20690.7,3712670,165955.0472,123351.19,78867.61,9086.1,33679.01,94801.21,101663.13,52111.41115,6003.598852,17823.69,121004.76
6/9/2013,1305259.99,27363.25905,5415.462634,9487.563133,7955.357461,4504.875826,21556.402,7273.290617,4239,47885,28175.8,3967670,165955.0472,182453.8,117339.09,15329.34,53447.18,138265.8,152340.27,76379.95738,9978.382617,28041.76,200408.56
6/10/2013,1424979.05,33706.82188,7508.668531,11144.51018,10266.57772,4787.065449,22836.16921,7273.290617,4826,36267,0,0,165955.0472,194193.01,134149.5,18382.67,45379.98,134316.89,166934.71,90699.52341,12428.66659,21435.57,172600.41
6/11/2013,1309970.59,31164.13567,6708.122423,10362.40039,9899.908385,4193.704471,23836.75786,6798.194857,3850,33941,0,0,165955.0472,179190.73,117086.42,16407.02,39243.06,121451.79,147248.03,81269.02042,11388.01958,21416.36,159362.2
6/12/2013,944188.3,29855.36936,6089.94541,11557.80006,8539.652677,3667.97121,23330.89587,6798.194857,4821,34798,0,0,165955.0472,134649.79,82179.1,13905.39,31281.32,125648.62,118490.43,51558.8004,8724.179597,15092.99,160230.06
6/13/2013,804105.97,27243.34485,6159.1785,9419.977438,8235.962775,3428.22614,24951.88131,5787.373735,4452,35589,0,0,165955.0472,124089.95,72694.79,11137.65,26368.18,137738.82,96636.66,44908.2039,6880.436097,12100.6,180744.79
6/14/2013,626233.15,21048.52117,5517.140324,6188.401539,6429.206435,2913.772868,15698.4247,5787.373735,4169,23001,0,0,165955.0472,94931.52,56966.08,8722.15,20191.56,77816.72,78382.12,43149.49513,6606.674866,10935.75,90811.19
6/15/2013,504315.86,18393.39149,5257.741607,5060.713569,5528.378217,2546.558101,13064.12453,5361.747246,2727,19113,0,0,165955.0472,84328.99,39436.02,7724,16064.91,62641.39,63987.35,31189.87311,6108.896889,8597.02,71525.84
6/16/2013,679983.33,20546.63878,6193.637669,5384.434662,6051.383321,2917.183125,15054.16651,5361.747246,3380,21579,0,0,165955.0472,101498.96,50798.99,9182.38,23498.35,75717.17,86439.76,40776.7425,7370.767505,12198.5,90745.75
6/17/2013,794324.34,23402.46895,6943.890722,7895.505091,5317.489184,3245.583956,15945.78804,5066.917864,3842,22719,0,0,165955.0472,115632.84,57038.87,9835.16,23548.68,79343.52,93357.1,48333.83175,8334.158245,12324.22,100699.06
6/18/2013,831652.09,22215.82103,6824.773593,7069.062501,4911.303187,3410.681745,14859.29829,5066.917864,3712,23980,0,0,165955.0472,119076.13,58804.19,10425.68,26467.4,86560.93,90448.91,47176.14286,8364.087136,12361.81,112132.92
6/19/2013,717555.19,20188.6264,6353.688133,5927.64926,4539.828282,3367.460726,16147.81468,3338.010597,1964,21937,0,0,165955.0472,94315.89,49298.99,6610.59,19137.36,71279.68,85617.97,41571.27338,5574.366617,11753.63,89698.36
6/20/2013,665136.13,18566.92556,5982.055801,5418.641895,3951.010746,3215.21712,15169.49668,3338.010597,1736,22728,0,0,165955.0472,86706.57,48727.16,4529.22,20008.97,76793.64,75097.48,40935.09712,3804.942881,10421.1,98023.92
6/21/2013,560455.17,15875.13308,4564.591775,4573.856987,3398.740503,3337.943811,13518.28678,3915.329085,1980,20412,0,0,165955.0472,76463.1,42833.82,3464.86,19854.75,67175.73,60400.42,32744.03067,2648.689332,9746.42,90042.81
6/22/2013,528281.68,14165.95233,3823.845507,4392.936035,3168.596646,2780.574145,12873.23321,3915.329085,1637,20242,0,0,165955.0472,76269.32,36898.25,3629.95,18414.27,67187.11,64217.75,31629.17713,3111.592868,10161.15,89941.99
6/23/2013,881715.86,18437.81939,5378.023469,5468.673027,3910.643961,3680.478933,17128.51882,5578.237992,1871,34440,0,0,165955.0472,118209.03,55953.44,5881.95,28576.09,110935.81,100534.74,47718.8757,5016.314295,15778.59,153244.16
6/24/2013,1102377.63,25106.41405,10054.72297,5680.369957,4807.254002,4564.067123,18411.46755,5578.237992,2744,43724,0,0,165955.0472,137832.09,67706.26,8743.22,35316.25,133842.2,112760.74,52512.63279,6781.197208,18753.97,187481.72
6/25/2013,1345111.51,27612.55306,15139.91673,3614.855356,4662.775321,4195.005649,20641.71444,5166.34805,3391,64663,0,0,165955.0472,156434.54,78975.04,11531.09,45898.83,173601.49,125923.74,58037.87127,8474.068731,22697.27,258183.96
